Name,APIR Code,Morningstar Category,3 Years Annualised (%),Investment Management Fee(%),Equity StyleBoxâ„¢,Morningstar Rating,3 Year Beta,3 Year Standard Deviation,3 Year Sharpe Ratio
Growth Fund,ABC123AU,Australian Equity Large Blend,8.2,0.85,Large Growth,5,1.1,12.5,0.65
Income Fund,DEF456AU,Fixed Income,4.5,0.65,Mid Value,4,0.4,3.2,0.95
Balanced Fund,GHI789AU,Diversified,6.3,0.75,Mid Blend,3,0.8,7.4,0.72
Global ETF,JKL012AU,Global Equity,9.7,0.95,Large Value,4,1.2,14.1,0.68
Property Fund,MNO345AU,Real Estate,5.8,0.9,Small Value,3,0.9,11.6,0.55
Conservative Fund,PQR678AU,Conservative Allocation,3.8,0.6,Mid Blend,4,0.5,4.8,0.8
Small Cap Fund,STU901AU,Australian Equity Small Cap,10.5,1.2,Small Growth,5,1.4,16.2,0.7
Emerging Markets,VWX234AU,Emerging Markets,12.3,1.5,Large Growth,4,1.5,18.7,0.72
International Shares,YZA567AU,International Equity,8.9,0.95,Large Growth,4,1.1,13.2,0.67
Bond Fund,BCD890AU,Fixed Income Global,3.2,0.5,Mid Value,3,0.3,2.8,0.9
Technology Fund,EFG123AU,Sector Equity Technology,14.5,1.1,Large Growth,5,1.3,17.5,0.82
Healthcare Fund,HIJ456AU,Sector Equity Healthcare,9.8,1.0,Large Blend,4,0.9,11.2,0.75
Sustainable Fund,KLM789AU,ESG,7.5,0.85,Large Growth,4,1.0,10.5,0.7
Fixed Term,NOP012AU,Fixed Income Australia,3.6,0.55,Mid Value,3,0.4,3.5,0.85
Cash Fund,QRS345AU,Cash,1.8,0.3,Mid Blend,3,0.1,0.9,0.5